BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,ProbRegisterClean,ProbRegisterHit,ProbMSBIntact,ProbMSBLost,Log10TrialCount
10,23,0.0898437500,-0.1601562500,1.759821311152e-05,5.000000000000e-05,20000,22044,0.000000000000e+00,1.759821311152e-05,0.000000000000e+00,1.759821311152e-05,12.8268
10,24,0.0937500000,-0.1562500000,6.840392341958e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,6.840392341958e-07,0.000000000000e+00,6.840392341958e-07,11.4164
10,25,0.0976562500,-0.1523437500,1.820936820853e-05,0.000000000000e+00,20000,22044,0.000000000000e+00,1.820936820853e-05,0.000000000000e+00,1.820936820853e-05,12.8416
10,26,0.1015625000,-0.1484375000,9.894435527943e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,9.894435527943e-07,0.000000000000e+00,9.894435527943e-07,11.5767
10,27,0.1054687500,-0.1445312500,6.724586297743e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,6.724586297743e-07,0.000000000000e+00,6.724586297743e-07,11.4090
10,28,0.1093750000,-0.1406250000,3.519504773672e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,3.519504773672e-07,0.000000000000e+00,3.519504773672e-07,11.1278
10,29,0.1132812500,-0.1367187500,3.422181025906e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,3.422181025906e-07,0.000000000000e+00,3.422181025906e-07,11.1156
10,30,0.1171875000,-0.1328125000,3.772435206782e-06,0.000000000000e+00,20000,22044,0.000000000000e+00,3.772435206782e-06,0.000000000000e+00,3.772435206782e-06,12.1580
10,31,0.1210937500,-0.1289062500,3.841526597056e-04,1.500000000000e-04,20000,22044,0.000000000000e+00,3.841526597056e-04,0.000000000000e+00,3.841526597056e-04,14.1658
10,32,0.1250000000,-0.1250000000,3.350993595901e-04,3.500000000000e-04,20000,22044,0.000000000000e+00,3.350993595901e-04,0.000000000000e+00,3.350993595901e-04,14.1065
10,33,0.1289062500,-0.1210937500,3.997619544043e-04,5.500000000000e-04,20000,22044,0.000000000000e+00,3.997619544043e-04,0.000000000000e+00,3.997619544043e-04,14.1831
10,34,0.1328125000,-0.1171875000,4.109035775111e-05,0.000000000000e+00,20000,22044,0.000000000000e+00,4.109035775111e-05,0.000000000000e+00,4.109035775111e-05,13.1951
10,35,0.1367187500,-0.1132812500,3.153429548188e-05,5.000000000000e-05,20000,22044,0.000000000000e+00,3.153429548188e-05,0.000000000000e+00,3.153429548188e-05,13.0801
10,36,0.1406250000,-0.1093750000,3.081375382143e-06,0.000000000000e+00,20000,22044,0.000000000000e+00,3.081375382143e-06,0.000000000000e+00,3.081375382143e-06,12.0701
10,37,0.1445312500,-0.1054687500,1.625558858000e-05,0.000000000000e+00,20000,22044,0.000000000000e+00,1.625558858000e-05,0.000000000000e+00,1.625558858000e-05,12.7923
10,38,0.1484375000,-0.1015625000,4.919151802348e-06,5.000000000000e-05,20000,22044,0.000000000000e+00,4.919151802348e-06,0.000000000000e+00,4.919151802348e-06,12.2732
10,39,0.1523437500,-0.0976562500,1.583834206604e-05,0.000000000000e+00,20000,22044,0.000000000000e+00,1.583834206604e-05,0.000000000000e+00,1.583834206604e-05,12.7811
10,40,0.1562500000,-0.0937500000,6.840392341958e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,6.840392341958e-07,0.000000000000e+00,6.840392341958e-07,11.4164
10,41,0.1601562500,-0.0898437500,1.604019676099e-05,0.000000000000e+00,20000,22044,0.000000000000e+00,1.604019676099e-05,0.000000000000e+00,1.604019676099e-05,12.7866
10,42,0.1640625000,-0.0859375000,2.953299042774e-06,0.000000000000e+00,20000,22044,0.000000000000e+00,2.953299042774e-06,0.000000000000e+00,2.953299042774e-06,12.0517
10,43,0.1679687500,-0.0820312500,6.731243863058e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,6.731243863058e-07,0.000000000000e+00,6.731243863058e-07,11.4094
10,44,0.1718750000,-0.0781250000,4.536098213496e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,4.536098213496e-07,0.000000000000e+00,4.536098213496e-07,11.2380
10,45,0.1757812500,-0.0742187500,2.398930020766e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,2.398930020766e-07,0.000000000000e+00,2.398930020766e-07,10.9614
10,46,0.1796875000,-0.0703125000,2.193367410935e-06,0.000000000000e+00,20000,22044,0.000000000000e+00,2.193367410935e-06,0.000000000000e+00,2.193367410935e-06,11.9225
10,47,0.1835937500,-0.0664062500,1.542159288473e-05,0.000000000000e+00,20000,22044,0.000000000000e+00,1.542159288473e-05,0.000000000000e+00,1.542159288473e-05,12.7695
10,48,0.1875000000,-0.0625000000,5.458641861204e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,5.458641861204e-07,0.000000000000e+00,5.458641861204e-07,11.3184
10,49,0.1914062500,-0.0585937500,1.605158828949e-05,1.000000000000e-04,20000,22044,0.000000000000e+00,1.605158828949e-05,0.000000000000e+00,1.605158828949e-05,12.7869
10,50,0.1953125000,-0.0546875000,2.940437074153e-06,0.000000000000e+00,20000,22044,0.000000000000e+00,2.940437074153e-06,0.000000000000e+00,2.940437074153e-06,12.0498
10,51,0.1992187500,-0.0507812500,6.724306568108e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,6.724306568108e-07,0.000000000000e+00,6.724306568108e-07,11.4090
10,52,0.2031250000,-0.0468750000,4.386946372069e-07,0.000000000000e+00,20000,22044,0.000000000000e+00,4.386946372069e-07,0.000000000000e+00,4.386946372069e-07,11.2235
