BitsFlipped,OutputOnes,OutputFraction,ErrorPerN,Probability,MC_Probability,MC_Trials,LevelRealTrials,Log10TrialCount
11,64,0.2500000000,0.0000000000,1.715285137539e-01,1.668000000000e-01,20000,20138,21.3882
11,65,0.2539062500,0.0039062500,1.562352890159e-01,1.608000000000e-01,20000,20138,21.3476
11,66,0.2578125000,0.0078125000,1.187139365837e-01,1.154000000000e-01,20000,20138,21.2283
11,67,0.2617187500,0.0117187500,7.500092917232e-02,7.735000000000e-02,20000,20138,21.0289
11,68,0.2656250000,0.0156250000,3.913253457144e-02,3.900000000000e-02,20000,20138,20.7464
11,69,0.2695312500,0.0195312500,1.667757687240e-02,1.785000000000e-02,20000,20138,20.3760
11,70,0.2734375000,0.0234375000,5.709486495455e-03,6.000000000000e-03,20000,20138,19.9104
11,71,0.2773437500,0.0273437500,1.531338134280e-03,1.700000000000e-03,20000,20138,19.3389
11,72,0.2812500000,0.0312500000,3.096687704580e-04,2.000000000000e-04,20000,20138,18.6447
11,73,0.2851562500,0.0351562500,4.434340540173e-05,1.000000000000e-04,20000,20138,17.8007
11,74,0.2890625000,0.0390625000,4.001474393567e-06,0.000000000000e+00,20000,20138,16.7561
11,75,0.2929687500,0.0429687500,1.707583054285e-07,0.000000000000e+00,20000,20138,15.3862
12,52,0.2031250000,-0.0468750000,2.260976781336e-08,0.000000000000e+00,20000,20150,16.1288
12,53,0.2070312500,-0.0429687500,6.693344471540e-07,0.000000000000e+00,20000,20150,17.6001
12,54,0.2109375000,-0.0390625000,9.190177392117e-06,0.000000000000e+00,20000,20150,18.7378
12,55,0.2148437500,-0.0351562500,7.811912964176e-05,5.000000000000e-05,20000,20150,19.6673
12,56,0.2187500000,-0.0312500000,4.629376180783e-04,5.500000000000e-04,20000,20150,20.4400
12,57,0.2226562500,-0.0273437500,2.041579281549e-03,2.750000000000e-03,20000,20150,21.0845
12,58,0.2265625000,-0.0234375000,6.981966829234e-03,7.550000000000e-03,20000,20150,21.6185
12,59,0.2304687500,-0.0195312500,1.904363802612e-02,1.905000000000e-02,20000,20150,22.0542
12,60,0.2343750000,-0.0156250000,4.226265019663e-02,4.415000000000e-02,20000,20150,22.4005
12,61,0.2382812500,-0.0117187500,7.742557237991e-02,7.900000000000e-02,20000,20150,22.6634
12,62,0.2421875000,-0.0078125000,1.183229905849e-01,1.197500000000e-01,20000,20150,22.8476
12,63,0.2460937500,-0.0039062500,1.519403255390e-01,1.511000000000e-01,20000,20150,22.9562
12,64,0.2500000000,0.0000000000,1.647046467051e-01,1.629000000000e-01,20000,20150,22.9912
12,65,0.2539062500,0.0039062500,1.510578137412e-01,1.475500000000e-01,20000,20150,22.9536
12,66,0.2578125000,0.0078125000,1.172103665692e-01,1.182500000000e-01,20000,20150,22.8435
12,67,0.2617187500,0.0117187500,7.675864323929e-02,7.820000000000e-02,20000,20150,22.6596
12,68,0.2656250000,0.0156250000,4.221223227272e-02,4.145000000000e-02,20000,20150,22.3999
12,69,0.2695312500,0.0195312500,1.933524532041e-02,1.785000000000e-02,20000,20150,22.0608
12,70,0.2734375000,0.0234375000,7.287409135862e-03,7.350000000000e-03,20000,20150,21.6371
12,71,0.2773437500,0.0273437500,2.220423210399e-03,2.050000000000e-03,20000,20150,21.1209
12,72,0.2812500000,0.0312500000,5.330064233780e-04,2.000000000000e-04,20000,20150,20.5012
12,73,0.2851562500,0.0351562500,9.694434165393e-05,2.500000000000e-04,20000,20150,19.7610
12,74,0.2890625000,0.0390625000,1.254100024480e-05,0.000000000000e+00,20000,20150,18.8728
12,75,0.2929687500,0.0429687500,1.026456197495e-06,0.000000000000e+00,20000,20150,17.7858
12,76,0.2968750000,0.0468750000,3.987768809408e-08,0.000000000000e+00,20000,20150,16.3752
13,51,0.1992187500,-0.0507812500,4.702831705179e-09,0.000000000000e+00,20000,20162,17.0319
13,52,0.2031250000,-0.0468750000,1.540177383446e-07,0.000000000000e+00,20000,20162,18.5471
13,53,0.2070312500,-0.0429687500,2.346297086476e-06,0.000000000000e+00,20000,20162,19.7299
13,54,0.2109375000,-0.0390625000,2.219399688784e-05,5.000000000000e-05,20000,20162,20.7058
13,55,0.2148437500,-0.0351562500,1.468082528972e-04,5.000000000000e-05,20000,20162,21.5263
13,56,0.2187500000,-0.0312500000,7.250241860453e-04,5.000000000000e-04,20000,20162,22.2199
13,57,0.2226562500,-0.0273437500,2.786451753630e-03,2.700000000000e-03,20000,20162,22.8046
13,58,0.2265625000,-0.0234375000,8.574562451632e-03,9.900000000000e-03,20000,20162,23.2927
13,59,0.2304687500,-0.0195312500,2.156434789577e-02,2.160000000000e-02,20000,20162,23.6933
13,60,0.2343750000,-0.0156250000,4.499900055382e-02,4.535000000000e-02,20000,20162,24.0127
13,61,0.2382812500,-0.0117187500,7.879746368709e-02,7.595000000000e-02,20000,20162,24.2560
13,62,0.2421875000,-0.0078125000,1.167552916868e-01,1.139000000000e-01,20000,20162,24.4268
13,63,0.2460937500,-0.0039062500,1.472515696017e-01,1.475000000000e-01,20000,20162,24.5276
13,64,0.2500000000,0.0000000000,1.586808897349e-01,1.610500000000e-01,20000,20162,24.5600
13,65,0.2539062500,0.0039062500,1.463899645386e-01,1.482000000000e-01,20000,20162,24.5250
13,66,0.2578125000,0.0078125000,1.156288278888e-01,1.177000000000e-01,20000,20162,24.4226
13,67,0.2617187500,0.0117187500,7.805822637245e-02,7.815000000000e-02,20000,20162,24.2519
13,68,0.2656250000,0.0156250000,4.486484817383e-02,4.225000000000e-02,20000,20162,24.0114
13,69,0.2695312500,0.0195312500,2.181874424621e-02,2.220000000000e-02,20000,20162,23.6984
13,70,0.2734375000,0.0234375000,8.896380960859e-03,9.000000000000e-03,20000,20162,23.3087
13,71,0.2773437500,0.0273437500,3.001997679087e-03,2.900000000000e-03,20000,20162,22.8369
13,72,0.2812500000,0.0312500000,8.230876678624e-04,8.500000000000e-04,20000,20162,22.2750
13,73,0.2851562500,0.0351562500,1.785923720458e-04,2.000000000000e-04,20000,20162,21.6114
13,74,0.2890625000,0.0390625000,2.947889093196e-05,0.000000000000e+00,20000,20162,20.8290
13,75,0.2929687500,0.0429687500,3.473348912477e-06,0.000000000000e+00,20000,20162,19.9003
13,76,0.2968750000,0.0468750000,2.597898453702e-07,0.000000000000e+00,20000,20162,18.7741
13,77,0.3007812500,0.0507812500,9.251623637826e-09,0.000000000000e+00,20000,20162,17.3257
14,50,0.1953125000,-0.0546875000,9.613002683932e-10,0.000000000000e+00,20000,20174,17.8944
