CountA,BitsFlipped,MeanOnesDelta,Log10Combinations
11,25,3.9062500000,6.5271
11,26,4.0625000000,5.9572
11,27,4.2187500000,5.3040
11,28,4.3750000000,4.5558
11,29,4.5312500000,3.6955
11,30,4.6875000000,2.6955
11,31,4.8437500000,1.5051
11,32,5.0000000000,0.0000
12,0,0.0000000000,0.0000
12,1,0.1250000000,1.5051
12,2,0.2500000000,2.6955
12,3,0.3750000000,3.6955
12,4,0.5000000000,4.5558
12,5,0.6250000000,5.3040
12,6,0.7500000000,5.9572
12,7,0.8750000000,6.5271
12,8,1.0000000000,7.0219
12,9,1.1250000000,7.4479
12,10,1.2500000000,7.8096
12,11,1.3750000000,8.1107
12,12,1.5000000000,8.3537
12,13,1.6250000000,8.5408
12,14,1.7500000000,8.6734
12,15,1.8750000000,8.7526
12,16,2.0000000000,8.7789
12,17,2.1250000000,8.7526
12,18,2.2500000000,8.6734
12,19,2.3750000000,8.5408
12,20,2.5000000000,8.3537
12,21,2.6250000000,8.1107
12,22,2.7500000000,7.8096
12,23,2.8750000000,7.4479
12,24,3.0000000000,7.0219
12,25,3.1250000000,6.5271
12,26,3.2500000000,5.9572
12,27,3.3750000000,5.3040
12,28,3.5000000000,4.5558
12,29,3.6250000000,3.6955
12,30,3.7500000000,2.6955
12,31,3.8750000000,1.5051
12,32,4.0000000000,0.0000
13,0,0.0000000000,0.0000
13,1,0.0937500000,1.5051
13,2,0.1875000000,2.6955
13,3,0.2812500000,3.6955
13,4,0.3750000000,4.5558
13,5,0.4687500000,5.3040
13,6,0.5625000000,5.9572
13,7,0.6562500000,6.5271
13,8,0.7500000000,7.0219
13,9,0.8437500000,7.4479
13,10,0.9375000000,7.8096
13,11,1.0312500000,8.1107
13,12,1.1250000000,8.3537
13,13,1.2187500000,8.5408
13,14,1.3125000000,8.6734
13,15,1.4062500000,8.7526
13,16,1.5000000000,8.7789
13,17,1.5937500000,8.7526
13,18,1.6875000000,8.6734
13,19,1.7812500000,8.5408
13,20,1.8750000000,8.3537
13,21,1.9687500000,8.1107
13,22,2.0625000000,7.8096
13,23,2.1562500000,7.4479
13,24,2.2500000000,7.0219
13,25,2.3437500000,6.5271
13,26,2.4375000000,5.9572
13,27,2.5312500000,5.3040
13,28,2.6250000000,4.5558
13,29,2.7187500000,3.6955
13,30,2.8125000000,2.6955
13,31,2.9062500000,1.5051
13,32,3.0000000000,0.0000
14,0,0.0000000000,0.0000
14,1,0.0625000000,1.5051
14,2,0.1250000000,2.6955
14,3,0.1875000000,3.6955
14,4,0.2500000000,4.5558
14,5,0.3125000000,5.3040
14,6,0.3750000000,5.9572
14,7,0.4375000000,6.5271
14,8,0.5000000000,7.0219
14,9,0.5625000000,7.4479
14,10,0.6250000000,7.8096
14,11,0.6875000000,8.1107
14,12,0.7500000000,8.3537
14,13,0.8125000000,8.5408
14,14,0.8750000000,8.6734
14,15,0.9375000000,8.7526
14,16,1.0000000000,8.7789
14,17,1.0625000000,8.7526
14,18,1.1250000000,8.6734
14,19,1.1875000000,8.5408
14,20,1.2500000000,8.3537
14,21,1.3125000000,8.1107
14,22,1.3750000000,7.8096
14,23,1.4375000000,7.4479
14,24,1.5000000000,7.0219
14,25,1.5625000000,6.5271
14,26,1.6250000000,5.9572
14,27,1.6875000000,5.3040
14,28,1.7500000000,4.5558
14,29,1.8125000000,3.6955
14,30,1.8750000000,2.6955
14,31,1.9375000000,1.5051
14,32,2.0000000000,0.0000
15,0,0.0000000000,0.0000
15,1,0.0312500000,1.5051
15,2,0.0625000000,2.6955
15,3,0.0937500000,3.6955
15,4,0.1250000000,4.5558
15,5,0.1562500000,5.3040
15,6,0.1875000000,5.9572
15,7,0.2187500000,6.5271
15,8,0.2500000000,7.0219
15,9,0.2812500000,7.4479
15,10,0.3125000000,7.8096
15,11,0.3437500000,8.1107
15,12,0.3750000000,8.3537
15,13,0.4062500000,8.5408
15,14,0.4375000000,8.6734
15,15,0.4687500000,8.7526
15,16,0.5000000000,8.7789
15,17,0.5312500000,8.7526
15,18,0.5625000000,8.6734
15,19,0.5937500000,8.5408
15,20,0.6250000000,8.3537
15,21,0.6562500000,8.1107
15,22,0.6875000000,7.8096
15,23,0.7187500000,7.4479
15,24,0.7500000000,7.0219
15,25,0.7812500000,6.5271
15,26,0.8125000000,5.9572
15,27,0.8437500000,5.3040
15,28,0.8750000000,4.5558
15,29,0.9062500000,3.6955
15,30,0.9375000000,2.6955
15,31,0.9687500000,1.5051
15,32,1.0000000000,0.0000
16,0,0.0000000000,0.0000
16,1,0.0000000000,1.5051
16,2,-0.0000000000,2.6955
16,3,0.0000000000,3.6955
16,4,0.0000000000,4.5558
16,5,-0.0000000000,5.3040
16,6,0.0000000000,5.9572
16,7,-0.0000000000,6.5271
16,8,-0.0000000000,7.0219
16,9,-0.0000000000,7.4479
16,10,-0.0000000000,7.8096
16,11,0.0000000000,8.1107
16,12,0.0000000000,8.3537
16,13,0.0000000000,8.5408
16,14,0.0000000000,8.6734
16,15,0.0000000000,8.7526
16,16,-0.0000000000,8.7789
16,17,-0.0000000000,8.7526
16,18,0.0000000000,8.6734
16,19,0.0000000000,8.5408
16,20,0.0000000000,8.3537
16,21,-0.0000000000,8.1107
16,22,0.0000000000,7.8096
16,23,-0.0000000000,7.4479
16,24,0.0000000000,7.0219
16,25,-0.0000000000,6.5271
16,26,-0.0000000000,5.9572
16,27,-0.0000000000,5.3040
16,28,-0.0000000000,4.5558
16,29,0.0000000000,3.6955
16,30,-0.0000000000,2.6955
16,31,0.0000000000,1.5051
16,32,0.0000000000,0.0000
17,0,0.0000000000,0.0000
17,1,-0.0312500000,1.5051
17,2,-0.0625000000,2.6955
17,3,-0.0937500000,3.6955
17,4,-0.1250000000,4.5558
17,5,-0.1562500000,5.3040
17,6,-0.1875000000,5.9572
17,7,-0.2187500000,6.5271
17,8,-0.2500000000,7.0219
17,9,-0.2812500000,7.4479
17,10,-0.3125000000,7.8096
17,11,-0.3437500000,8.1107
17,12,-0.3750000000,8.3537
17,13,-0.4062500000,8.5408
17,14,-0.4375000000,8.6734
17,15,-0.4687500000,8.7526
17,16,-0.5000000000,8.7789
17,17,-0.5312500000,8.7526
17,18,-0.5625000000,8.6734
17,19,-0.5937500000,8.5408
17,20,-0.6250000000,8.3537
17,21,-0.6562500000,8.1107
17,22,-0.6875000000,7.8096
17,23,-0.7187500000,7.4479
17,24,-0.7500000000,7.0219
17,25,-0.7812500000,6.5271
17,26,-0.8125000000,5.9572
17,27,-0.8437500000,5.3040
17,28,-0.8750000000,4.5558
17,29,-0.9062500000,3.6955
17,30,-0.9375000000,2.6955
17,31,-0.9687500000,1.5051
17,32,-1.0000000000,0.0000
18,0,0.0000000000,0.0000
18,1,-0.0625000000,1.5051
18,2,-0.1250000000,2.6955
18,3,-0.1875000000,3.6955
18,4,-0.2500000000,4.5558
18,5,-0.3125000000,5.3040
18,6,-0.3750000000,5.9572
18,7,-0.4375000000,6.5271
18,8,-0.5000000000,7.0219
18,9,-0.5625000000,7.4479
18,10,-0.6250000000,7.8096
18,11,-0.6875000000,8.1107
18,12,-0.7500000000,8.3537
18,13,-0.8125000000,8.5408
18,14,-0.8750000000,8.6734
18,15,-0.9375000000,8.7526
18,16,-1.0000000000,8.7789
18,17,-1.0625000000,8.7526
18,18,-1.1250000000,8.6734
18,19,-1.1875000000,8.5408
18,20,-1.2500000000,8.3537
18,21,-1.3125000000,8.1107
18,22,-1.3750000000,7.8096
18,23,-1.4375000000,7.4479
18,24,-1.5000000000,7.0219
18,25,-1.5625000000,6.5271
18,26,-1.6250000000,5.9572
18,27,-1.6875000000,5.3040
18,28,-1.7500000000,4.5558
18,29,-1.8125000000,3.6955
18,30,-1.8750000000,2.6955
18,31,-1.9375000000,1.5051
18,32,-2.0000000000,0.0000
19,0,0.0000000000,0.0000
19,1,-0.0937500000,1.5051
19,2,-0.1875000000,2.6955
19,3,-0.2812500000,3.6955
19,4,-0.3750000000,4.5558
19,5,-0.4687500000,5.3040
19,6,-0.5625000000,5.9572
19,7,-0.6562500000,6.5271
19,8,-0.7500000000,7.0219
19,9,-0.8437500000,7.4479
19,10,-0.9375000000,7.8096
19,11,-1.0312500000,8.1107
19,12,-1.1250000000,8.3537
19,13,-1.2187500000,8.5408
19,14,-1.3125000000,8.6734
19,15,-1.4062500000,8.7526
19,16,-1.5000000000,8.7789
19,17,-1.5937500000,8.7526
19,18,-1.6875000000,8.6734
19,19,-1.7812500000,8.5408
19,20,-1.8750000000,8.3537
19,21,-1.9687500000,8.1107
19,22,-2.0625000000,7.8096
19,23,-2.1562500000,7.4479
19,24,-2.2500000000,7.0219
19,25,-2.3437500000,6.5271
19,26,-2.4375000000,5.9572
19,27,-2.5312500000,5.3040
19,28,-2.6250000000,4.5558
19,29,-2.7187500000,3.6955
19,30,-2.8125000000,2.6955
19,31,-2.9062500000,1.5051
19,32,-3.0000000000,0.0000
20,0,0.0000000000,0.0000
20,1,-0.1250000000,1.5051
20,2,-0.2500000000,2.6955
20,3,-0.3750000000,3.6955
20,4,-0.5000000000,4.5558
20,5,-0.6250000000,5.3040
20,6,-0.7500000000,5.9572
20,7,-0.8750000000,6.5271
20,8,-1.0000000000,7.0219
20,9,-1.1250000000,7.4479
20,10,-1.2500000000,7.8096
20,11,-1.3750000000,8.1107
20,12,-1.5000000000,8.3537
20,13,-1.6250000000,8.5408
20,14,-1.7500000000,8.6734
20,15,-1.8750000000,8.7526
20,16,-2.0000000000,8.7789
20,17,-2.1250000000,8.7526
20,18,-2.2500000000,8.6734
20,19,-2.3750000000,8.5408
20,20,-2.5000000000,8.3537
20,21,-2.6250000000,8.1107
20,22,-2.7500000000,7.8096
20,23,-2.8750000000,7.4479
20,24,-3.0000000000,7.0219
20,25,-3.1250000000,6.5271
20,26,-3.2500000000,5.9572
20,27,-3.3750000000,5.3040
20,28,-3.5000000000,4.5558
20,29,-3.6250000000,3.6955
20,30,-3.7500000000,2.6955
20,31,-3.8750000000,1.5051
20,32,-4.0000000000,0.0000
21,0,0.0000000000,0.0000
21,1,-0.1562500000,1.5051
21,2,-0.3125000000,2.6955
21,3,-0.4687500000,3.6955
21,4,-0.6250000000,4.5558
21,5,-0.7812500000,5.3040
21,6,-0.9375000000,5.9572
21,7,-1.0937500000,6.5271
21,8,-1.2500000000,7.0219
21,9,-1.4062500000,7.4479
21,10,-1.5625000000,7.8096
21,11,-1.7187500000,8.1107
21,12,-1.8750000000,8.3537
21,13,-2.0312500000,8.5408
21,14,-2.1875000000,8.6734
21,15,-2.3437500000,8.7526
21,16,-2.5000000000,8.7789
21,17,-2.6562500000,8.7526
21,18,-2.8125000000,8.6734
21,19,-2.9687500000,8.5408
21,20,-3.1250000000,8.3537
21,21,-3.2812500000,8.1107
21,22,-3.4375000000,7.8096
21,23,-3.5937500000,7.4479
21,24,-3.7500000000,7.0219
21,25,-3.9062500000,6.5271
21,26,-4.0625000000,5.9572
21,27,-4.2187500000,5.3040
21,28,-4.3750000000,4.5558
21,29,-4.5312500000,3.6955
21,30,-4.6875000000,2.6955
21,31,-4.8437500000,1.5051
21,32,-5.0000000000,0.0000
22,0,0.0000000000,0.0000
22,1,-0.1875000000,1.5051
22,2,-0.3750000000,2.6955
22,3,-0.5625000000,3.6955
22,4,-0.7500000000,4.5558
22,5,-0.9375000000,5.3040
22,6,-1.1250000000,5.9572
22,7,-1.3125000000,6.5271
22,8,-1.5000000000,7.0219
22,9,-1.6875000000,7.4479
22,10,-1.8750000000,7.8096
22,11,-2.0625000000,8.1107
22,12,-2.2500000000,8.3537
22,13,-2.4375000000,8.5408
22,14,-2.6250000000,8.6734
22,15,-2.8125000000,8.7526
22,16,-3.0000000000,8.7789
22,17,-3.1875000000,8.7526
22,18,-3.3750000000,8.6734
22,19,-3.5625000000,8.5408
22,20,-3.7500000000,8.3537
22,21,-3.9375000000,8.1107
22,22,-4.1250000000,7.8096
22,23,-4.3125000000,7.4479
22,24,-4.5000000000,7.0219
22,25,-4.6875000000,6.5271
22,26,-4.8750000000,5.9572
22,27,-5.0625000000,5.3040
22,28,-5.2500000000,4.5558
22,29,-5.4375000000,3.6955
22,30,-5.6250000000,2.6955
22,31,-5.8125000000,1.5051
22,32,-6.0000000000,0.0000
23,0,0.0000000000,0.0000
23,1,-0.2187500000,1.5051
23,2,-0.4375000000,2.6955
23,3,-0.6562500000,3.6955
23,4,-0.8750000000,4.5558
23,5,-1.0937500000,5.3040
23,6,-1.3125000000,5.9572
23,7,-1.5312500000,6.5271
23,8,-1.7500000000,7.0219
23,9,-1.9687500000,7.4479
23,10,-2.1875000000,7.8096
23,11,-2.4062500000,8.1107
23,12,-2.6250000000,8.3537
23,13,-2.8437500000,8.5408
23,14,-3.0625000000,8.6734
23,15,-3.2812500000,8.7526
23,16,-3.5000000000,8.7789
23,17,-3.7187500000,8.7526
23,18,-3.9375000000,8.6734
23,19,-4.1562500000,8.5408
23,20,-4.3750000000,8.3537
23,21,-4.5937500000,8.1107
23,22,-4.8125000000,7.8096
23,23,-5.0312500000,7.4479
23,24,-5.2500000000,7.0219
23,25,-5.4687500000,6.5271
23,26,-5.6875000000,5.9572
23,27,-5.9062500000,5.3040
23,28,-6.1250000000,4.5558
23,29,-6.3437500000,3.6955
23,30,-6.5625000000,2.6955
23,31,-6.7812500000,1.5051
23,32,-7.0000000000,0.0000
24,0,0.0000000000,0.0000
24,1,-0.2500000000,1.5051
24,2,-0.5000000000,2.6955
24,3,-0.7500000000,3.6955
24,4,-1.0000000000,4.5558
24,5,-1.2500000000,5.3040
24,6,-1.5000000000,5.9572
24,7,-1.7500000000,6.5271
24,8,-2.0000000000,7.0219
24,9,-2.2500000000,7.4479
24,10,-2.5000000000,7.8096
24,11,-2.7500000000,8.1107
24,12,-3.0000000000,8.3537
24,13,-3.2500000000,8.5408
24,14,-3.5000000000,8.6734
24,15,-3.7500000000,8.7526
24,16,-4.0000000000,8.7789
24,17,-4.2500000000,8.7526
24,18,-4.5000000000,8.6734
24,19,-4.7500000000,8.5408
24,20,-5.0000000000,8.3537
24,21,-5.2500000000,8.1107
24,22,-5.5000000000,7.8096
24,23,-5.7500000000,7.4479
24,24,-6.0000000000,7.0219
24,25,-6.2500000000,6.5271
24,26,-6.5000000000,5.9572
24,27,-6.7500000000,5.3040
24,28,-7.0000000000,4.5558
24,29,-7.2500000000,3.6955
24,30,-7.5000000000,2.6955
24,31,-7.7500000000,1.5051
24,32,-8.0000000000,0.0000
25,0,0.0000000000,0.0000
25,1,-0.2812500000,1.5051
25,2,-0.5625000000,2.6955
25,3,-0.8437500000,3.6955
25,4,-1.1250000000,4.5558
25,5,-1.4062500000,5.3040
25,6,-1.6875000000,5.9572
25,7,-1.9687500000,6.5271
25,8,-2.2500000000,7.0219
25,9,-2.5312500000,7.4479
25,10,-2.8125000000,7.8096
25,11,-3.0937500000,8.1107
25,12,-3.3750000000,8.3537
25,13,-3.6562500000,8.5408
25,14,-3.9375000000,8.6734
25,15,-4.2187500000,8.7526
25,16,-4.5000000000,8.7789
25,17,-4.7812500000,8.7526
25,18,-5.0625000000,8.6734
25,19,-5.3437500000,8.5408
25,20,-5.6250000000,8.3537
25,21,-5.9062500000,8.1107
25,22,-6.1875000000,7.8096
25,23,-6.4687500000,7.4479
